[2025-07-18 00:07:02,812:INFO:main:welcome to check logger]
[2025-07-26 22:21:23,183:INFO:main:welcome to check logger]
[2025-08-01 11:58:35,704:INFO:common:yaml file: config\config.yaml loaded sucessfully]
[2025-08-01 11:58:35,733:INFO:common:yaml file: params.yaml loaded sucessfully]
[2025-08-01 11:58:35,737:INFO:common: created directories at: artifacts]
[2025-08-01 11:58:35,743:INFO:common: created directories at: artifacts/data_ingestion]
[2025-08-01 12:01:33,351:INFO:common:yaml file: config\config.yaml loaded sucessfully]
[2025-08-01 12:01:33,360:INFO:common:yaml file: params.yaml loaded sucessfully]
[2025-08-01 12:01:33,364:INFO:common: created directories at: artifacts]
[2025-08-01 12:01:33,367:INFO:common: created directories at: artifacts/data_ingestion]
[2025-08-01 12:01:33,367:INFO:1793678933:downloading data from https://drive.google.com/file/d/15FV6QQQiTimGVNODvXJ9_uh0JDBsSSXP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-01 12:03:12,394:INFO:1793678933:download data from https://drive.google.com/file/d/15FV6QQQiTimGVNODvXJ9_uh0JDBsSSXP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-01 12:09:05,755:INFO:common:yaml file: config\config.yaml loaded sucessfully]
[2025-08-01 12:09:05,758:INFO:common:yaml file: params.yaml loaded sucessfully]
[2025-08-01 12:09:05,762:INFO:common: created directories at: artifacts]
[2025-08-01 12:09:05,763:INFO:common: created directories at: artifacts/data_ingestion]
[2025-08-01 12:09:05,763:INFO:1793678933:downloading data from https://drive.google.com/file/d/15FV6QQQiTimGVNODvXJ9_uh0JDBsSSXP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-01 12:11:04,058:INFO:1793678933:download data from https://drive.google.com/file/d/15FV6QQQiTimGVNODvXJ9_uh0JDBsSSXP/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-01 12:56:34,715:INFO:common:yaml file: config\config.yaml loaded sucessfully]
[2025-08-01 12:56:34,716:INFO:common:yaml file: params.yaml loaded sucessfully]
[2025-08-01 12:56:34,716:INFO:common: created directories at: artifacts]
[2025-08-01 12:56:34,716:INFO:common: created directories at: artifacts/data_ingestion]
[2025-08-01 12:56:34,716:INFO:1793678933:downloading data from https://drive.google.com/file/d/1Kc6a9rrEW_PlIsf6SOKn_5hRyy1xztWT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-01 12:58:18,821:INFO:1793678933:download data from https://drive.google.com/file/d/1Kc6a9rrEW_PlIsf6SOKn_5hRyy1xztWT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-02 13:00:02,681:INFO:main:>>>>>> Stage Data Ingestion Stage started <<<<<<]
[2025-08-02 13:00:02,681:INFO:common:yaml file: config\config.yaml loaded sucessfully]
[2025-08-02 13:00:02,695:INFO:common:yaml file: params.yaml loaded sucessfully]
[2025-08-02 13:00:02,695:INFO:common: created directories at: artifacts]
[2025-08-02 13:00:02,695:INFO:common: created directories at: artifacts/data_ingestion]
[2025-08-02 13:00:02,695:INFO:data_ingestion:downloading data from https://drive.google.com/file/d/1Kc6a9rrEW_PlIsf6SOKn_5hRyy1xztWT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-02 13:00:40,835:INFO:data_ingestion:download data from https://drive.google.com/file/d/1Kc6a9rrEW_PlIsf6SOKn_5hRyy1xztWT/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-02 13:00:41,512:INFO:main:>>>>>> Stage Data Ingestion Stage completed <<<<<<

x============x]
